freq_mhz,dbfs
0.535937,-138.298
0.536719,-118.533
0.537500,-138.298
0.538281,-109.017
0.539062,-138.298
0.539844,-116.570
0.540625,-138.298
0.541406,-110.588
0.542187,-138.298
0.542969,-105.977
0.543750,-138.298
0.544531,-126.352
0.545312,-138.298
0.546094,-113.043
0.546875,-138.298
0.547656,-121.620
0.548437,-138.298
0.549219,-113.915
0.550000,-138.298
0.550781,-114.892
0.551562,-138.298
0.552344,-102.184
0.553125,-138.298
0.553906,-106.314
0.554687,-138.298
0.555469,-142.159
0.556250,-138.298
0.557031,-116.305
0.557812,-138.298
0.558594,-111.866
0.559375,-138.298
0.560156,-111.272
0.560937,-138.298
0.561719,-131.235
0.562500,-138.298
0.563281,-118.679
0.564062,-138.298
0.564844,-109.514
0.565625,-138.298
0.566406,-107.464
0.567187,-138.298
0.567969,-103.060
0.568750,-138.298
0.569531,-103.486
0.570312,-138.298
0.571094,-116.679
0.571875,-138.298
0.572656,-108.413
0.573437,-138.298
0.574219,-113.079
0.575000,-138.298
0.575781,-105.568
0.576562,-138.298
0.577344,-120.882
0.578125,-138.298
0.578906,-131.098
0.579687,-138.298
0.580469,-106.652
0.581250,-138.298
0.582031,-113.551
0.582812,-138.298
0.583594,-105.787
0.584375,-138.298
0.585156,-122.010
0.585937,-138.298
0.586719,-108.692
0.587500,-138.298
0.588281,-104.326
0.589062,-138.298
0.589844,-102.963
0.590625,-138.298
0.591406,-103.793
0.592187,-138.298
0.592969,-119.847
0.593750,-138.298
0.594531,-106.330
0.595312,-138.298
0.596094,-109.750
0.596875,-138.298
0.597656,-121.420
0.598437,-138.298
0.599219,-108.040
0.600000,-138.298
0.600781,-121.648
0.601562,-138.298
0.602344,-118.234
0.603125,-138.298
0.603906,-104.403
0.604687,-138.298
0.605469,-103.366
0.606250,-138.298
0.607031,-131.474
0.607812,-138.298
0.608594,-112.479
0.609375,-138.298
0.610156,-98.751
0.610937,-138.298
0.611719,-109.901
0.612500,-138.298
0.613281,-103.584
0.614062,-138.298
0.614844,-114.359
0.615625,-138.298
0.616406,-108.142
0.617187,-138.298
0.617969,-153.816
0.618750,-138.298
0.619531,-115.478
0.620312,-138.298
0.621094,-116.231
0.621875,-138.298
0.622656,-100.739
0.623437,-138.298
0.624219,-103.965
0.625000,-138.298
0.625781,-125.506
0.626562,-138.298
0.627344,-108.508
0.628125,-138.298
